"","X1","name","spp","region","obslat1","gamlat1","gamhlat1","obslong1","gamlong1","gamhlong1","obsdepth1","gamdepth1","gamhdepth1","obslat2","gamlat2","gamhlat2","obslong2","gamlong2","gamhlong2","obsdepth2","gamdepth2","gamhdepth2","gamdepth","taxa"
"274",290,"Solenocera spp.","SOLENOCERA","SEFSC_GOMex",-0.0425527316890157,-0.0166197841951539,-0.0167539250568216,-0.158750530929553,-0.0362490581010044,-0.04713202504716,0.143159457858101,0.527999652592604,0.35976080976457,-0.0425527316890157,-0.0166197841951539,-0.0167539250568216,-0.158750530929553,-0.0362490581010044,-0.04713202504716,0.143159457858101,0,0.35976080976457,0.527999652592604,"prawn"
"275",291,"Sphoeroides parvus","SPHOEROIDES PARVUS","SEFSC_GOMex",-0.0174131066542842,0.00252543694534508,-0.000633704615341871,-0.100165494531944,-0.00803713649850523,-0.0232252635133527,-0.162587527279076,0.010302959685166,0.0637253449228515,-0.0174131066542842,0.00252543694534508,-0.000633704615341871,-0.100165494531944,-0.00803713649850523,-0.0232252635133527,-0.162587527279076,0,0.0637253449228515,0.010302959685166,"fish"
"276",297,"Stenotomus caprinus","STENOTOMUS CAPRINUS","SEFSC_GOMex",-0.00946056591264103,-0.00702512860838553,-0.00386247908568808,-0.0649088226580647,-0.0385655317753531,-0.0201049498466147,0.109310694435183,0.18762099440263,0.175060416003087,-0.00946056591264103,-0.00702512860838553,-0.00386247908568808,-0.0649088226580647,-0.0385655317753531,-0.0201049498466147,0.109310694435183,0,0.175060416003087,0.18762099440263,"fish"
"277",184,"Stephanolepis hispidus","MONACANTHUS HISPIDUS","SEFSC_GOMex",0.00438436643866129,0.00247947097315139,0.000115536401892341,-0.0216061236797638,-0.01966046237733,-0.018404504360877,-0.16963469572605,0.092190572151424,0.094028108296216,0.00438436643866129,0.00247947097315139,0.000115536401892341,-0.0216061236797638,-0.01966046237733,-0.018404504360877,-0.16963469572605,0,0.094028108296216,0.092190572151424,"fish"
"278",300,"Synodus foetens","SYNODUS FOETENS","SEFSC_GOMex",-0.0108850130254269,-0.00612384801375175,-0.00469643093832747,-0.0695993152706502,-0.0304767137448714,-0.021629863964228,-0.030008100186795,0.128006798599771,0.175684855739318,-0.0108850130254269,-0.00612384801375175,-0.00469643093832747,-0.0695993152706502,-0.0304767137448714,-0.021629863964228,-0.030008100186795,0,0.175684855739318,0.128006798599771,"fish"
"279",301,"Synodus poeyi","SYNODUS POEYI","SEFSC_GOMex",-0.0230649588824572,-0.00281603335174478,-0.00861070046916401,-0.0534383403726476,-0.0101373598436078,-0.0200128266995173,0.207972209587304,0.25280009791715,0.26182856174299,-0.0230649588824572,-0.00281603335174478,-0.00861070046916401,-0.0534383403726476,-0.0101373598436078,-0.0200128266995173,0.207972209587304,0,0.26182856174299,0.25280009791715,"fish"
"280",309,"Trachurus lathami","TRACHURUS LATHAMI","SEFSC_GOMex",-0.000844441051707276,-0.00105734592437251,-0.00295323372882204,-0.00655099342506457,-0.013741680845835,-0.014198075976253,0.440444539728559,0.137973583340377,0.204640962729281,-0.000844441051707276,-0.00105734592437251,-0.00295323372882204,-0.00655099342506457,-0.013741680845835,-0.014198075976253,0.440444539728559,0,0.204640962729281,0.137973583340377,"fish"
"281",310,"Trachypeneus spp.","TRACHYPENEUS","SEFSC_GOMex",-0.0151259878413619,0.00418851567409316,-0.00600428915383564,-0.093128264829161,0.0192327533210039,-0.0275997643148976,0.139263264626346,-0.0297447338620538,0.12417417426359,-0.0151259878413619,0.00418851567409316,-0.00600428915383564,-0.093128264829161,0.0192327533210039,-0.0275997643148976,0.139263264626346,0,0.12417417426359,-0.0297447338620538,"prawn"
"282",311,"Trichiurus lepturus","TRICHIURUS LEPTURUS","SEFSC_GOMex",0.00600487015803357,0.00846677599221982,0.00081885232072089,0.00677675255259354,0.00553846801864882,-0.0173204028019094,-0.131098261794499,0.227731653761311,0.0396964739683383,0.00600487015803357,0.00846677599221982,0.00081885232072089,0.00677675255259354,0.00553846801864882,-0.0173204028019094,-0.131098261794499,0,0.0396964739683383,0.227731653761311,"fish"
"283",316,"Upeneus parvus","UPENEUS PARVUS","SEFSC_GOMex",0.0021954014030717,-0.00786196665413333,0.00245363555895187,0.00056024437616049,-0.0252877245731884,0.00240600267806662,0.692486983082634,0.270434773590584,0.267031419037555,0.0021954014030717,-0.00786196665413333,0.00245363555895187,0.00056024437616049,-0.0252877245731884,0.00240600267806662,0.692486983082634,0,0.267031419037555,0.270434773590584,"fish"
"284",5,"Alosa sapidissima","Alosa sapidissima","WestCoast_Tri",0.138530497464437,0.102164105001481,0.0906824223654764,-0.0178430536146787,-0.0134262051364665,-0.0136130532841766,-0.558635000049788,0.0238073456763317,-0.112643347655301,0.138530497464437,0.102164105001481,0.0906824223654764,-0.0178430536146787,-0.0134262051364665,-0.0136130532841766,-0.558635000049788,0,-0.112643347655301,0.0238073456763317,"fish"
"285",16,"Anoplopoma fimbria","Anoplopoma fimbria","WestCoast_Tri",0.0825013328371024,0.0621464407192118,0.0628295144278068,-0.0120016664307562,-0.00329407700769847,-0.00720471165126981,-2.25154274439172,-1.44971834531346,-1.01864925975947,0.0825013328371024,0.0621464407192118,0.0628295144278068,-0.0120016664307562,-0.00329407700769847,-0.00720471165126981,-2.25154274439172,0,-1.01864925975947,-1.44971834531346,"fish"
"286",24,"Atheresthes stomias","Atheresthes stomias","WestCoast_Tri",0.088049591569159,0.0770744642506014,0.0719205476790674,-0.0219123890345082,-0.00867951565053291,-0.00429312954438927,-1.16696765971934,-1.15940758757926,-1.47910443401531,0.088049591569159,0.0770744642506014,0.0719205476790674,-0.0219123890345082,-0.00867951565053291,-0.00429312954438927,-1.16696765971934,0,-1.47910443401531,-1.15940758757926,"fish"
"287",31,"Bathyraja spp.","Bathyrajasp","WestCoast_Tri",0.065404618364985,0.0633832488174269,0.0888993458984596,0.00553568597054979,-0.00371031322945523,-0.0121860248687235,-0.644492547933887,-2.6193774048597,-0.807250337891107,0.065404618364985,0.0633832488174269,0.0888993458984596,0.00553568597054979,-0.00371031322945523,-0.0121860248687235,-0.644492547933887,0,-0.807250337891107,-2.6193774048597,"skate"
